Sigma Colour,Sigma Space,Average Similarity
0,0.0,-16.364853118014192
0,0.2,-16.364855488549825
40,0.2,-16.364855488549825
0,0.1,-16.364855488549825
0,0.7,-16.364855488549825
0,0.9,-16.36485477421431
20,0.4,-16.309278735749324
0,0.6,-16.36485548854982
0,0.5,-16.36485548854982
0,0.4,-16.364855488549825
0,0.3,-16.364855488549825
60,0.8,-12.469561137235681
20,0.7,-15.808542816720388
20,0.1,-16.364855488549825
20,0.6,-15.96130603792781
40,0.4,-16.05009881535445
40,0.1,-16.364855488549825
20,0.3,-16.364855488549825
0,0.8,-16.364855398596465
40,0.6,-14.920939017420602
40,0.7,-14.468400781210017
40,0.9,-13.785055877757912
60,0.3,-16.364852160275472
40,0.8,-14.097968475304922
20,0.0,-15.452896853803948
40,0.0,-13.515354059815303
20,0.5,-16.13383361582922
20,0.2,-16.364855488549825
20,0.9,-15.558912096432715
40,0.5,-15.4773480398824
20,0.8,-15.676578257117017
60,0.5,-14.713225245798087
60,0.2,-16.364855488549825
40,0.3,-16.364855488549825
60,0.0,-11.63214590557911
60,0.1,-16.364855488549825
60,0.4,-15.745308620033745
80,0.1,-16.36485548854982
80,0.5,-13.989524280274688
80,0.3,-16.364297872956474
60,0.6,-13.76626305440214
80,0.8,-11.120369814776083
80,0.0,-10.188950775742969
80,0.9,-10.59912745028193
60,0.9,-12.010964822605834
80,0.4,-15.446988431320483
60,0.7,-13.037157347011666
80,0.7,-11.79932616360599
80,0.2,-16.364855488549825
80,0.6,-12.720806435690989
